DogID,Toys,Chewing on off-limit items: On average over the last week how often did you observe your dog chewing off limit items,Score post toy,Post_Chewing on off-limit items_any_change,Score pre-toy:Pre-Has your pup cause damage to off limit items,Pre_Chewing on off-limit items_:how often did you observe your dog,Difference_c,Chewing on Toys: on average over the last week how often did you observe your dog doing this,Score post toy,Post_chewing_on_toys,Score pre-toy,Pre_chewing_on_toys,Difference_ctoys,Mouthing/Nipping on body parts,Score post-toy,Post_mouthing_body_parts,Score pre-toy,Pre_mouthing_body_parts,Difference_mouthing,Chewing on the toys provided ,Score post_c toy,"On average, over the past week have you noticed any changes in your dogs chewing on off-limit items",Has your pup cause damage to off limit items,Post: Please state your level of agreement with the following statements. - Chew toys help minimize any unwanted chewing on off-limit items,Post_Chewing_minimize_off,Pre : Please state your level of agreement with the following statements. - Chew toys help minimize any unwanted chewing on off-limit items,Pre_Chewing_minize_off,Post: Please state your level of agreement with the following statements. - My dog readily chews on the toys I provide them,Post_chew_on_toys,Pre: Please state your level of agreement with the following statements. - My dog readily chews on the toys I provide them,Pre_chew_on_toys,Post: Please state your level of agreement with the following statements. - My dogs chewing/nipping/mouthing behavior is a problem,Post_chew_p,Pre: Please state your level of agreement with the following statements. - My dogs chewing/nipping/mouthing behavior is a problem,Pre_chew_P,Is there any information you want to share about your dogs interaction with the toy provided? (max 500 characters),
Lucy,Toy 2,Never,0,0,0,0,0,Very frequently (>3 times a day),5,1,4,1,1,Frequently (2-3 times a day),4,1,5,1,1,Very frequently (>3 times a day),5,No,No,Strongly Agree,1,Agree,1,Strongly Agree,1,Strongly Agree,1,Disagree,0,Strongly Agree,1,She loved it!  It quickly became her favorite toy. ,Thank you for working with my schedule!  
Nakia,Toy 1,Occasionally (2-3 times total),2,0,0,0,2,Very frequently (>3 times a day),5,1,5,1,0,Never,0,0,0,0,0,Never,0,No,Yes-minor,Strongly Agree,1,Agree,1,Agree,1,Strongly Agree,1,Disagree,0,Disagree,0,I generally don't use rubber toys with other than very young basenjis because their jaws are so strong. They play with stuffies and unstuffies and chew on bully sticks and select antlers.,Izzy and Nakia did move their toys out into the yard once.
Bandit,Toy 2,Occasionally (2-3 times total),2,0,2,0,0,Very frequently (>3 times a day),5,1,5,1,0,Frequently (2-3 times a day),4,1,4,1,0,Frequently (2-3 times a day),4,Yes - less chewing,Yes - minor damage,Strongly Agree,1,Agree,1,Strongly Agree,1,Strongly Agree,1,Neither Agree or Disagree,,Neither Agree or Disagree,,He loves it! There seems to be a preference to this toy over his other chew toys,Nope! Y’all did great though!
Remy ,Toy 1,Rarely (once total),1,0,3,1,2,Frequently (2-3 times a day),4,1,3,1,1,Rarely (once total),1,0,2,0,1,Regularly (once a day),3,No,Yes - minor damage,Disagree,0,Neither Agree or Disagree,,Agree,1,Neither Agree or Disagree,,Strongly Disagree,0,Disagree,0,He normally doesn’t look for it during the day as he prefers his stuffed toys if he’s going to play with a toy but he does chew on it at night when he goes to bed ,
Tex,Toy 2,Occasionally (2-3 times total),2,0,2,0,0,Very frequently (>3 times a day),5,1,5,1,0,Rarely (once total),1,0,1,0,0,Occasionally (2-3 times total),2,No,Yes - major damage,Strongly Agree,1,Agree,1,Agree,1,Agree,1,Disagree,0,Agree,1,He usually has to be given the toy to play with it. Almost like a reminder it's a choice.,
Vaquita,Toy 1,Regularly (once a day),3,1,1,0,2,Occasionally (2-3 times total),2,0,4,1,2,Regularly (once a day),3,1,4,1,1,Rarely (once total),1,No,Yes - minor damage,Agree,1,Strongly Agree,1,Agree,1,Strongly Agree,1,Strongly Agree,1,Agree,1,"She rarely used it, she prefers fabric toys or ropes that she can destroy ",
Granger ,Toy 2,Never,0,0,1,0,1,Very frequently (>3 times a day),5,1,5,1,0,Never,0,0,0,0,0,Frequently (2-3 times a day),4,Yes - less chewing,Yes - minor damage,Neither Agree or Disagree,,Agree,1,Agree,1,Agree,1,Strongly Disagree,0,Strongly Disagree,0,She actively looks for the new toy and chews on the toy. She enjoys the spiky textures a lot.,
Broly,Toy 1,Occasionally (2-3 times total),2,0,2,0,0,Very frequently (>3 times a day),5,1,5,1,0,Rarely (once total),1,0,2,0,1,Frequently (2-3 times a day),4,Yes - less chewing,Yes - minor damage,Strongly Agree,1,Strongly Disagree,0,Agree,1,Strongly Disagree,0,Agree,1,Disagree,0,He loved to play fetch with it,N/A
Izzy,Toy 1,Occasionally (2-3 times total),2,0,0,0,2,Very frequently (>3 times a day),5,1,5,1,0,Never,0,0,0,0,0,Never,0,No,Yes-minor,Strongly Agree,1,Agree,1,Agree,1,Strongly Agree,1,Disagree,0,Disagree,0,I generally don't use rubber toys with other than very young basenjis because their jaws are so strong. They play with stuffies and unstuffies and chew on bully sticks and select antlers.,Izzy and Nakia did move their toys out into the yard once.
Milo,Toy 1,Occasionally (2-3 times total),2,0,1,0,1,Occasionally (2-3 times total),2,0,4,1,2,Occasionally (2-3 times total),2,0,5,1,3,Occasionally (2-3 times total),2,Yes - less chewing,Yes - major damage,Agree,1,Agree,1,Disagree,0,Agree,1,Agree,1,Agree,1,He doesn’t seek the toy out but he has chewed on it for less than 5 seconds when I bring it to him. One evening he did chew on it for about 10 mins so it may be good for the crate when he gets bored. ,I think in my case it has more to do with myself and how I redirect his attention. When he chews or gets an item that is off limits taking away the item and giving him an appropriate chew toy helps the most. Just like a toddler. 
Wennie,Toy 1,Rarely (once total),1,0,0,0,1,Regularly (once a day),3,1,4,1,1,Very frequently (>3 times a day),5,1,5,1,1,Regularly (once a day),3,Yes - more chewing,No,Disagree,0,Strongly Agree,1,Neither Agree or Disagree,,Neither Agree or Disagree,,Neither Agree or Disagree,,Neither Agree or Disagree,,,
Shinner,Toy 2,Occasionally (2-3 times total),2,0,2,0,0,Regularly (once a day),3,1,1,0,2,Occasionally (2-3 times total),2,0,2,0,0,Regularly (once a day),2,Yes - less chewing,Yes - minor damage,Agree,1,Agree,1,Neither Agree or Disagree,,Neither Agree or Disagree,,Disagree,0,Neither Agree or Disagree,,He played with it more than the other toys we have in our house. Even our other dog played with it. ,
