,Behaviors,DogID,Toy,Total.number,seconds,Age
52,Chewing,Sedrick,Toy 2,8,73.21,4
53,Chewing,Shiner,Toy 1,1,0.734,3
54,Chewing,Shiner,Toy 2,4,17.55,3
55,Chewing,Tex,Toy 1,7,287.85,8
56,Chewing,Tex,Toy 2,9,228.99,8
57,Chewing,Ween,Toy 1,6,224.67,3
58,Chewing,Ween,Toy 2,8,215.815,3
59,Licking,Ace,Toy 1,0,0,9
60,Licking,Ace,Toy 2,0,0,9
61,Licking,Bailey,Toy 1,0,0,5
62,Licking,Bailey,Toy 2,0,0,5
63,Licking,Bandit,Toy 1,0,0,4
64,Licking,Bandit,Toy 2,0,0,4
65,Licking,Baquita,Toy 1,0,0,5
66,Licking,Baquita,Toy 2,0,0,5
67,Licking,Broly,Toy 1,0,0,7
68,Licking,Broly,Toy 2,0,0,7
69,Licking,Chicken,Toy 1,0,0,8
70,Licking,Chicken,Toy 2,0,0,8
71,Licking,Cookie,Toy 1,0,0,4
72,Licking,Cookie,Toy 2,0,0,4
73,Licking,Dixie,Toy 1,0,0,9
74,Licking,Dixie,Toy 2,0,0,9
75,Licking,Gio,Toy 1,0,0,7
76,Licking,Gio,Toy 2,1,0.6,7
77,Licking,Huck,Toy 1,0,0,4
78,Licking,Huck,Toy 2,0,0,4
79,Licking,Izzy,Toy 1,0,0,6
80,Licking,Izzy,Toy 2,0,0,6
81,Licking,Jax,Toy 1,0,0,4
82,Licking,Jax,Toy 2,0,0,4
83,Licking,Ladybird,Toy 1,0,0,9
84,Licking,Ladybird,Toy 2,0,0,9
85,Licking,Ligo,Toy 1,0,0,4
86,Licking,Ligo,Toy 2,0,0,4
87,Licking,Lucy,Toy 1,0,0,5
88,Licking,Lucy,Toy 2,0,0,5
89,Licking,Lulu,Toy 1,0,0,9
90,Licking,Lulu,Toy 2,0,0,9
91,Licking,Mayzie,Toy 1,0,0,9
92,Licking,Mayzie,Toy 2,0,0,9
93,Licking,Milo,Toy 1,0,0,4
94,Licking,Milo,Toy 2,0,0,4
95,Licking,Nakia,Toy 1,0,0,6
96,Licking,Nakia,Toy 2,0,0,6
97,Licking,Natasha,Toy 1,0,0,8
98,Licking,Natasha,Toy 2,0,0,8
99,Licking,Ollie,Toy 1,0,0,9
100,Licking,Ollie,Toy 2,0,0,9
101,Licking,Opal,Toy 1,0,0,5
102,Licking,Opal,Toy 2,0,0,5
103,Licking,Ranger,Toy 1,0,0,10
104,Licking,Ranger,Toy 2,0,0,10
105,Licking,Remy,Toy 1,0,0,4
106,Licking,Remy,Toy 2,0,0,4
107,Licking,Rohn,Toy 1,0,0,8
108,Licking,Rohn,Toy 2,0,0,8
109,Licking,Sedrick,Toy 1,0,0,4
110,Licking,Sedrick,Toy 2,0,0,4
111,Licking,Shiner,Toy 1,0,0,3
112,Licking,Shiner,Toy 2,0,0,3
113,Licking,Tex,Toy 1,0,0,8
114,Licking,Tex,Toy 2,0,0,8
115,Licking,Ween,Toy 1,0,0,3
116,Licking,Ween,Toy 2,0,0,3
117,Owner directed,Ace,Toy 1,2,0.63,9
118,Owner directed,Ace,Toy 2,7,1.17,9
119,Owner directed,Bailey,Toy 1,2,0.5,5
120,Owner directed,Bailey,Toy 2,3,1,5
121,Owner directed,Bandit,Toy 1,6,1.63,4
122,Owner directed,Bandit,Toy 2,2,1.1,4
123,Owner directed,Baquita,Toy 1,18,3.74,5
124,Owner directed,Baquita,Toy 2,9,2.07,5
125,Owner directed,Broly,Toy 1,18,3.6,7
126,Owner directed,Broly,Toy 2,10,2.34,7
127,Owner directed,Chicken,Toy 1,14,3.4,8
128,Owner directed,Chicken,Toy 2,1,0.4,8
129,Owner directed,Cookie,Toy 1,8,3.47,4
130,Owner directed,Cookie,Toy 2,7,3.5,4
131,Owner directed,Dixie,Toy 1,12,3.64,9
132,Owner directed,Dixie,Toy 2,6,1.27,9
133,Owner directed,Gio,Toy 1,1,0.1,7
134,Owner directed,Gio,Toy 2,0,0,7
135,Owner directed,Huck,Toy 1,5,1.23,4
136,Owner directed,Huck,Toy 2,3,0.9,4
137,Owner directed,Izzy,Toy 1,12,7.54,6
138,Owner directed,Izzy,Toy 2,8,3.94,6
139,Owner directed,Jax,Toy 1,11,6.61,4
140,Owner directed,Jax,Toy 2,10,3.2,4
141,Owner directed,Ladybird,Toy 1,0,0,9
142,Owner directed,Ladybird,Toy 2,5,1.87,9
143,Owner directed,Ligo,Toy 1,19,4.57,4
144,Owner directed,Ligo,Toy 2,15,5.71,4
145,Owner directed,Lucy,Toy 1,11,3,5
146,Owner directed,Lucy,Toy 2,5,1.1,5
147,Owner directed,Lulu,Toy 1,9,3.7,9
148,Owner directed,Lulu,Toy 2,6,0.93,9
149,Owner directed,Mayzie,Toy 1,10,3.7,9
150,Owner directed,Mayzie,Toy 2,0,0,9
151,Owner directed,Milo,Toy 1,9,3.3,4
152,Owner directed,Milo,Toy 2,9,1.97,4
153,Owner directed,Nakia,Toy 1,11,3.5,6
154,Owner directed,Nakia,Toy 2,12,6.57,6
155,Owner directed,Natasha,Toy 1,13,5.57,8
156,Owner directed,Natasha,Toy 2,10,1.87,8
157,Owner directed,Ollie,Toy 1,11,3.67,9
158,Owner directed,Ollie,Toy 2,2,0.67,9
159,Owner directed,Opal,Toy 1,18,5.67,5
160,Owner directed,Opal,Toy 2,14,3.84,5
161,Owner directed,Ranger,Toy 1,2,0.73,10
162,Owner directed,Ranger,Toy 2,0,0,10
163,Owner directed,Remy,Toy 1,8,1.7,4
164,Owner directed,Remy,Toy 2,4,1.27,4
165,Owner directed,Rohn,Toy 1,0,0,8
166,Owner directed,Rohn,Toy 2,0,0,8
167,Owner directed,Sedrick,Toy 1,2,0.77,4
168,Owner directed,Sedrick,Toy 2,4,1.97,4
169,Owner directed,Shiner,Toy 1,19,0,3
170,Owner directed,Shiner,Toy 2,16,0,3
171,Owner directed,Tex,Toy 1,0,0,8
172,Owner directed,Tex,Toy 2,0,0,8
173,Owner directed,Ween,Toy 1,2,0,3
174,Owner directed,Ween,Toy 2,3,0,3
175,Pawing,Ace,Toy 1,0,0,9
176,Pawing,Ace,Toy 2,1,0.4,9
177,Pawing,Bailey,Toy 1,6,7.97,5
178,Pawing,Bailey,Toy 2,7,116.02,5
179,Pawing,Bandit,Toy 1,4,1.13,4
180,Pawing,Bandit,Toy 2,4,4.44,4
181,Pawing,Baquita,Toy 1,0,0,5
182,Pawing,Baquita,Toy 2,0,0,5
183,Pawing,Broly,Toy 1,0,0,7
184,Pawing,Broly,Toy 2,0,0,7
185,Pawing,Chicken,Toy 1,1,0.17,8
186,Pawing,Chicken,Toy 2,0,0,8
187,Pawing,Cookie,Toy 1,0,0,4
188,Pawing,Cookie,Toy 2,0,0,4
189,Pawing,Dixie,Toy 1,0,0,9
190,Pawing,Dixie,Toy 2,0,0,9
191,Pawing,Gio,Toy 1,0,0,7
192,Pawing,Gio,Toy 2,0,0,7
193,Pawing,Huck,Toy 1,0,0,4
194,Pawing,Huck,Toy 2,0,0,4
195,Pawing,Izzy,Toy 1,4,3.14,6
196,Pawing,Izzy,Toy 2,3,2.44,6
197,Pawing,Jax,Toy 1,0,0,4
198,Pawing,Jax,Toy 2,1,0.6,4
199,Pawing,Ladybird,Toy 1,0,0,9
200,Pawing,Ladybird,Toy 2,0,0,9
201,Pawing,Ligo,Toy 1,1,0.23,4
202,Pawing,Ligo,Toy 2,4,2.04,4
203,Pawing,Lucy,Toy 1,0,0,5
204,Pawing,Lucy,Toy 2,0,0,5
205,Pawing,Lulu,Toy 1,0,0,9
206,Pawing,Lulu,Toy 2,0,0,9
207,Pawing,Mayzie,Toy 1,0,0,9
208,Pawing,Mayzie,Toy 2,0,0,9
209,Pawing,Milo,Toy 1,0,0,4
210,Pawing,Milo,Toy 2,1,0.6,4
211,Pawing,Nakia,Toy 1,0,0,6
212,Pawing,Nakia,Toy 2,2,0.93,6
213,Pawing,Natasha,Toy 1,0,0,8
214,Pawing,Natasha,Toy 2,0,0,8
215,Pawing,Ollie,Toy 1,1,0.6,9
216,Pawing,Ollie,Toy 2,1,0.27,9
217,Pawing,Opal,Toy 1,0,0,5
218,Pawing,Opal,Toy 2,0,0,5
219,Pawing,Ranger,Toy 1,0,0,10
220,Pawing,Ranger,Toy 2,0,0,10
221,Pawing,Remy,Toy 1,0,0,4
222,Pawing,Remy,Toy 2,0,0,4
223,Pawing,Rohn,Toy 1,0,0,8
224,Pawing,Rohn,Toy 2,0,0,8
225,Pawing,Sedrick,Toy 1,0,0,4
226,Pawing,Sedrick,Toy 2,0,0,4
227,Pawing,Shiner,Toy 1,0,0,3
228,Pawing,Shiner,Toy 2,0,0,3
229,Pawing,Tex,Toy 1,0,0,8
230,Pawing,Tex,Toy 2,0,0,8
231,Pawing,Ween,Toy 1,0,0,3
232,Pawing,Ween,Toy 2,0,0,3
233,Sniffing,Ace,Toy 1,2,2.54,9
234,Sniffing,Ace,Toy 2,13,18.25,9
235,Sniffing,Bailey,Toy 1,8,9.78,5
236,Sniffing,Bailey,Toy 2,9,16.68,5
237,Sniffing,Bandit,Toy 1,3,4.2,4
238,Sniffing,Bandit,Toy 2,7,14.41,4
239,Sniffing,Baquita,Toy 1,7,7.77,5
240,Sniffing,Baquita,Toy 2,11,15.45,5
241,Sniffing,Broly,Toy 1,6,5.71,7
242,Sniffing,Broly,Toy 2,6,4.8,7
243,Sniffing,Chicken,Toy 1,2,1.37,8
244,Sniffing,Chicken,Toy 2,0,0,8
245,Sniffing,Cookie,Toy 1,3,3.87,4
246,Sniffing,Cookie,Toy 2,6,19.02,4
247,Sniffing,Dixie,Toy 1,3,1.53,9
248,Sniffing,Dixie,Toy 2,14,16.62,9
249,Sniffing,Gio,Toy 1,0,0,7
250,Sniffing,Gio,Toy 2,1,0.37,7
251,Sniffing,Huck,Toy 1,1,0.67,4
252,Sniffing,Huck,Toy 2,0,0,4
253,Sniffing,Izzy,Toy 1,2,4.04,6
254,Sniffing,Izzy,Toy 2,8,8.48,6
255,Sniffing,Jax,Toy 1,11,9.41,4
256,Sniffing,Jax,Toy 2,16,26.63,4
257,Sniffing,Ladybird,Toy 1,0,0,9
258,Sniffing,Ladybird,Toy 2,6,15.72,9
259,Sniffing,Ligo,Toy 1,4,4.64,4
260,Sniffing,Ligo,Toy 2,30,27.46,4
261,Sniffing,Lucy,Toy 1,3,6.21,5
262,Sniffing,Lucy,Toy 2,6,9.61,5
263,Sniffing,Lulu,Toy 1,2,0.6,9
264,Sniffing,Lulu,Toy 2,6,5.14,9
265,Sniffing,Mayzie,Toy 1,8,4.94,9
266,Sniffing,Mayzie,Toy 2,2,1.2,9
267,Sniffing,Milo,Toy 1,8,8.31,4
268,Sniffing,Milo,Toy 2,17,16.28,4
269,Sniffing,Nakia,Toy 1,5,4.47,6
270,Sniffing,Nakia,Toy 2,8,16.98,6
271,Sniffing,Natasha,Toy 1,6,2.24,8
272,Sniffing,Natasha,Toy 2,18,10.81,8
273,Sniffing,Ollie,Toy 1,4,3.87,9
274,Sniffing,Ollie,Toy 2,10,17.08,9
275,Sniffing,Opal,Toy 1,8,5.87,5
276,Sniffing,Opal,Toy 2,16,20.09,5
277,Sniffing,Ranger,Toy 1,1,0.37,10
278,Sniffing,Ranger,Toy 2,1,0.6,10
279,Sniffing,Remy,Toy 1,3,3.04,4
280,Sniffing,Remy,Toy 2,1,0.6,4
281,Sniffing,Rohn,Toy 1,1,0.5,8
282,Sniffing,Rohn,Toy 2,2,1.87,8
283,Sniffing,Sedrick,Toy 1,3,7.97,4
284,Sniffing,Sedrick,Toy 2,7,8.71,4
285,Sniffing,Shiner,Toy 1,6,7.94,3
286,Sniffing,Shiner,Toy 2,10,26.22,3
287,Sniffing,Tex,Toy 1,2,1.67,8
288,Sniffing,Tex,Toy 2,1,3.3,8
289,Sniffing,Ween,Toy 1,2,0.43,3
290,Sniffing,Ween,Toy 2,2,7.2,3
